city,friction_code,friction_label,comparison_group,chinese_subset,chinese_count,chinese_n,chinese_pct_posts,review_count,review_n,review_pct_reviews,review_minus_chinese_pp
Fukui,accessibility_mobility,Accessibility / Mobility,google_english,all_posts,0,105,0.0,6,214,2.804,2.804
Fukui,accessibility_mobility,Accessibility / Mobility,google_japanese,all_posts,0,105,0.0,158,1800,8.778,8.778
Fukui,booking_ticketing,Booking / Ticketing,google_english,all_posts,0,105,0.0,0,214,0.0,0.0
Fukui,booking_ticketing,Booking / Ticketing,google_japanese,all_posts,0,105,0.0,14,1800,0.778,0.778
Fukui,cleanliness_comfort,Cleanliness / Comfort,google_english,all_posts,0,105,0.0,2,214,0.935,0.935
Fukui,cleanliness_comfort,Cleanliness / Comfort,google_japanese,all_posts,0,105,0.0,21,1800,1.167,1.167
Fukui,english_information_gap,English Information Gap,google_english,all_posts,0,105,0.0,1,214,0.467,0.467
Fukui,english_information_gap,English Information Gap,google_japanese,all_posts,0,105,0.0,5,1800,0.278,0.278
Fukui,food_amenities_gap,Food / Amenities Gap,google_english,all_posts,0,105,0.0,1,214,0.467,0.467
Fukui,food_amenities_gap,Food / Amenities Gap,google_japanese,all_posts,0,105,0.0,0,1800,0.0,0.0
Fukui,itinerary_fit_time_cost,Itinerary Fit / Time & Cost,google_english,all_posts,2,105,1.905,5,214,2.336,0.431
Fukui,itinerary_fit_time_cost,Itinerary Fit / Time & Cost,google_japanese,all_posts,2,105,1.905,7,1800,0.389,-1.516
Fukui,opening_hours_availability,Opening Hours / Availability,google_english,all_posts,0,105,0.0,9,214,4.206,4.206
Fukui,opening_hours_availability,Opening Hours / Availability,google_japanese,all_posts,0,105,0.0,34,1800,1.889,1.889
Fukui,price_value,Price / Value,google_english,all_posts,0,105,0.0,6,214,2.804,2.804
Fukui,price_value,Price / Value,google_japanese,all_posts,0,105,0.0,6,1800,0.333,0.333
Fukui,staff_communication,Staff Communication,google_english,all_posts,0,105,0.0,1,214,0.467,0.467
Fukui,staff_communication,Staff Communication,google_japanese,all_posts,0,105,0.0,3,1800,0.167,0.167
Fukui,transport_access,Transport / Access,google_english,all_posts,1,105,0.952,8,214,3.738,2.786
Fukui,transport_access,Transport / Access,google_japanese,all_posts,1,105,0.952,13,1800,0.722,-0.23
Fukui,waiting_crowding,Waiting / Crowding,google_english,all_posts,0,105,0.0,0,214,0.0,0.0
Fukui,waiting_crowding,Waiting / Crowding,google_japanese,all_posts,0,105,0.0,74,1800,4.111,4.111
Fukui,wayfinding_signage,Wayfinding / Signage,google_english,all_posts,1,105,0.952,1,214,0.467,-0.485
Fukui,wayfinding_signage,Wayfinding / Signage,google_japanese,all_posts,1,105,0.952,12,1800,0.667,-0.285
Fukui,accessibility_mobility,Accessibility / Mobility,google_english,excluding_fan,0,83,0.0,6,214,2.804,2.804
Fukui,accessibility_mobility,Accessibility / Mobility,google_japanese,excluding_fan,0,83,0.0,158,1800,8.778,8.778
Fukui,booking_ticketing,Booking / Ticketing,google_english,excluding_fan,0,83,0.0,0,214,0.0,0.0
Fukui,booking_ticketing,Booking / Ticketing,google_japanese,excluding_fan,0,83,0.0,14,1800,0.778,0.778
Fukui,cleanliness_comfort,Cleanliness / Comfort,google_english,excluding_fan,0,83,0.0,2,214,0.935,0.935
Fukui,cleanliness_comfort,Cleanliness / Comfort,google_japanese,excluding_fan,0,83,0.0,21,1800,1.167,1.167
Fukui,english_information_gap,English Information Gap,google_english,excluding_fan,0,83,0.0,1,214,0.467,0.467
Fukui,english_information_gap,English Information Gap,google_japanese,excluding_fan,0,83,0.0,5,1800,0.278,0.278
Fukui,food_amenities_gap,Food / Amenities Gap,google_english,excluding_fan,0,83,0.0,1,214,0.467,0.467
Fukui,food_amenities_gap,Food / Amenities Gap,google_japanese,excluding_fan,0,83,0.0,0,1800,0.0,0.0
Fukui,itinerary_fit_time_cost,Itinerary Fit / Time & Cost,google_english,excluding_fan,2,83,2.41,5,214,2.336,-0.074
Fukui,itinerary_fit_time_cost,Itinerary Fit / Time & Cost,google_japanese,excluding_fan,2,83,2.41,7,1800,0.389,-2.021
Fukui,opening_hours_availability,Opening Hours / Availability,google_english,excluding_fan,0,83,0.0,9,214,4.206,4.206
Fukui,opening_hours_availability,Opening Hours / Availability,google_japanese,excluding_fan,0,83,0.0,34,1800,1.889,1.889
Fukui,price_value,Price / Value,google_english,excluding_fan,0,83,0.0,6,214,2.804,2.804
Fukui,price_value,Price / Value,google_japanese,excluding_fan,0,83,0.0,6,1800,0.333,0.333
Fukui,staff_communication,Staff Communication,google_english,excluding_fan,0,83,0.0,1,214,0.467,0.467
Fukui,staff_communication,Staff Communication,google_japanese,excluding_fan,0,83,0.0,3,1800,0.167,0.167
Fukui,transport_access,Transport / Access,google_english,excluding_fan,1,83,1.205,8,214,3.738,2.533
Fukui,transport_access,Transport / Access,google_japanese,excluding_fan,1,83,1.205,13,1800,0.722,-0.483
Fukui,waiting_crowding,Waiting / Crowding,google_english,excluding_fan,0,83,0.0,0,214,0.0,0.0
Fukui,waiting_crowding,Waiting / Crowding,google_japanese,excluding_fan,0,83,0.0,74,1800,4.111,4.111
Fukui,wayfinding_signage,Wayfinding / Signage,google_english,excluding_fan,1,83,1.205,1,214,0.467,-0.738
Fukui,wayfinding_signage,Wayfinding / Signage,google_japanese,excluding_fan,1,83,1.205,12,1800,0.667,-0.538
