city,month,theme,count,pct_posts
Fukui,2024-09,ordinary,1,100.0
Fukui,2024-10,fan,1,20.0
Fukui,2024-10,ordinary,2,40.0
Fukui,2024-10,travel,2,40.0
Fukui,2024-11,ordinary,1,100.0
Fukui,2025-01,ordinary,2,66.667
Fukui,2025-01,travel,1,33.333
Fukui,2025-02,fan,1,100.0
Fukui,2025-03,ordinary,2,40.0
Fukui,2025-03,travel,3,60.0
Fukui,2025-04,fan,1,33.333
Fukui,2025-04,ordinary,1,33.333
Fukui,2025-04,travel,1,33.333
Fukui,2025-05,ordinary,3,60.0
Fukui,2025-05,travel,2,40.0
Fukui,2025-06,fan,1,25.0
Fukui,2025-06,ordinary,2,50.0
Fukui,2025-06,travel,1,25.0
Fukui,2025-07,ordinary,3,75.0
Fukui,2025-07,travel,1,25.0
Fukui,2025-08,ordinary,3,42.857
Fukui,2025-08,travel,4,57.143
Fukui,2025-09,fan,5,45.455
Fukui,2025-09,ordinary,4,36.364
Fukui,2025-09,travel,2,18.182
Fukui,2025-10,ordinary,5,83.333
Fukui,2025-10,travel,1,16.667
Fukui,2025-11,fan,3,33.333
Fukui,2025-11,ordinary,6,66.667
Fukui,2025-12,fan,4,40.0
Fukui,2025-12,ordinary,6,60.0
Fukui,2026-01,fan,2,33.333
Fukui,2026-01,ordinary,4,66.667
Fukui,2026-03,ordinary,2,100.0
Fukui,2026-04,ordinary,4,100.0
Fukui,2026-05,fan,1,8.333
Fukui,2026-05,ordinary,11,91.667
Fukui,2026-06,fan,3,50.0
Fukui,2026-06,ordinary,3,50.0
