city,friction_code,friction_label,count,n_sentences,pct_of_sentences
Fukui,transport_access,Transport / Access,8,772,1.0
Fukui,wayfinding_signage,Wayfinding / Signage,1,772,0.1
Fukui,english_information_gap,English Information Gap,1,772,0.1
Fukui,staff_communication,Staff Communication,1,772,0.1
Fukui,booking_ticketing,Booking / Ticketing,0,772,0.0
Fukui,waiting_crowding,Waiting / Crowding,0,772,0.0
Fukui,price_value,Price / Value,6,772,0.8
Fukui,cleanliness_comfort,Cleanliness / Comfort,2,772,0.3
Fukui,opening_hours_availability,Opening Hours / Availability,10,772,1.3
Fukui,itinerary_fit_time_cost,Itinerary Fit / Time & Cost,7,772,0.9
Fukui,accessibility_mobility,Accessibility / Mobility,6,772,0.8
Fukui,food_amenities_gap,Food / Amenities Gap,1,772,0.1
Kanazawa,transport_access,Transport / Access,2,1694,0.1
Kanazawa,wayfinding_signage,Wayfinding / Signage,1,1694,0.1
Kanazawa,english_information_gap,English Information Gap,5,1694,0.3
Kanazawa,staff_communication,Staff Communication,0,1694,0.0
Kanazawa,booking_ticketing,Booking / Ticketing,1,1694,0.1
Kanazawa,waiting_crowding,Waiting / Crowding,25,1694,1.5
Kanazawa,price_value,Price / Value,9,1694,0.5
Kanazawa,cleanliness_comfort,Cleanliness / Comfort,0,1694,0.0
Kanazawa,opening_hours_availability,Opening Hours / Availability,12,1694,0.7
Kanazawa,itinerary_fit_time_cost,Itinerary Fit / Time & Cost,3,1694,0.2
Kanazawa,accessibility_mobility,Accessibility / Mobility,1,1694,0.1
Kanazawa,food_amenities_gap,Food / Amenities Gap,0,1694,0.0
Toyama,transport_access,Transport / Access,1,664,0.2
Toyama,wayfinding_signage,Wayfinding / Signage,0,664,0.0
Toyama,english_information_gap,English Information Gap,1,664,0.2
Toyama,staff_communication,Staff Communication,0,664,0.0
Toyama,booking_ticketing,Booking / Ticketing,0,664,0.0
Toyama,waiting_crowding,Waiting / Crowding,2,664,0.3
Toyama,price_value,Price / Value,2,664,0.3
Toyama,cleanliness_comfort,Cleanliness / Comfort,0,664,0.0
Toyama,opening_hours_availability,Opening Hours / Availability,2,664,0.3
Toyama,itinerary_fit_time_cost,Itinerary Fit / Time & Cost,1,664,0.2
Toyama,accessibility_mobility,Accessibility / Mobility,3,664,0.5
Toyama,food_amenities_gap,Food / Amenities Gap,0,664,0.0
