mention_id,review_id,city,poi_name,poi_category,sentence_text,sentence_index,transport_access,wayfinding_signage,english_information_gap,staff_communication,booking_ticketing,waiting_crowding,price_value,cleanliness_comfort,opening_hours_availability,itinerary_fit_time_cost,accessibility_mobility,food_amenities_gap,scenic_value,worthwhile_destination,friendly_service,underpromoted_feature,easy_if_guided,good_for_itinerary_bundle,friction_codes,nudge_codes,all_codes
a004b4ba97fb_0,a004b4ba97fb,Fukui,Eiheiji Temple,temple_shrine,Huge temple.,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,[],[],[]
a004b4ba97fb_1,a004b4ba97fb,Fukui,Eiheiji Temple,temple_shrine,Spectacular and up down stair a lot.,1,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,[],['scenic_value'],['scenic_value']
1ac5aa534744_0,1ac5aa534744,Fukui,Eiheiji Temple,temple_shrine,Visited Daihonzan Eiheiji on a trip through Fukui and I'm still thinking about it weeks later.,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,[],[],[]
1ac5aa534744_1,1ac5aa534744,Fukui,Eiheiji Temple,temple_shrine,"Of everything I did in Japan, this is the one that stuck with me most.",1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,[],[],[]
1ac5aa534744_2,1ac5aa534744,Fukui,Eiheiji Temple,temple_shrine,The setting alone is staggering.,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,[],[],[]
1ac5aa534744_3,1ac5aa534744,Fukui,Eiheiji Temple,temple_shrine,"The temple is tucked into the mountains among ancient cedars, and the moment you step onto the grounds the air just changes — cooler, quieter, heavier in a good way.",3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,[],[],[]
1ac5aa534744_4,1ac5aa534744,Fukui,Eiheiji Temple,temple_shrine,You can feel this is a place that's been doing the same thing for nearly 800 years.,4,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,[],[],[]
1ac5aa534744_5,1ac5aa534744,Fukui,Eiheiji Temple,temple_shrine,"It's a working Zen monastery, so you're walking through while monks are actually training and living their daily routine.",5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,[],[],[]
1ac5aa534744_6,1ac5aa534744,Fukui,Eiheiji Temple,temple_shrine,"The complex is incredible — dozens of buildings connected by covered wooden corridors and steep stairs, all worn smooth by centuries of feet.",6,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,['accessibility_mobility'],[],['accessibility_mobility']
1ac5aa534744_7,1ac5aa534744,Fukui,Eiheiji Temple,temple_shrine,The painted ceiling hall genuinely stopped me in my tracks.,7,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,[],[],[]
