city,friction_code,friction_label,friction_label_ja,friction_label_with_ja,english_count,english_n,english_pct_reviews,japanese_count,japanese_n,japanese_pct_reviews,japanese_minus_english_pp,odds_ratio_english_vs_japanese,fisher_exact_p,chi_square_p,cramers_v,fisher_exact_p_bh,significant_bh_0_05
Fukui,transport_access,Transport / Access,交通・アクセス,Transport / Access (交通・アクセス),8,214,3.738,13,1800,0.722,-3.016,5.338312173263629,0.0008522433194466964,0.00017654041248659811,0.08356989924984208,0.006136151900016215,True
Fukui,wayfinding_signage,Wayfinding / Signage,案内・サイン,Wayfinding / Signage (案内・サイン),1,214,0.467,12,1800,0.667,0.199,0.6995305164319249,1.0,1.0,0.0,1.0,False
Fukui,english_information_gap,English Information Gap,英語・多言語情報不足,English Information Gap (英語・多言語情報不足),1,214,0.467,5,1800,0.278,-0.19,1.6854460093896713,0.49079467580003855,1.0,0.0,0.8283501935309352,False
Fukui,staff_communication,Staff Communication,スタッフ対応・コミュニケーション,Staff Communication (スタッフ対応・コミュニケーション),1,214,0.467,3,1800,0.167,-0.301,2.812206572769953,0.36217998287788344,0.9030822371423433,0.002713349786795506,0.7315787359332154,False
Fukui,booking_ticketing,Booking / Ticketing,予約・チケット・決済,Booking / Ticketing (予約・チケット・決済),0,214,0.0,14,1800,0.778,0.778,0.0,0.38611099952030814,0.3900685614083569,0.01915193363821985,0.7315787359332154,False
Fukui,waiting_crowding,Waiting / Crowding,待ち時間・混雑,Waiting / Crowding (待ち時間・混雑),0,214,0.0,74,1800,4.111,4.111,0.0,0.00035704164436430014,0.004655246136766174,0.06305971463878839,0.005136515098609015,True
Fukui,price_value,Price / Value,価格・価値,Price / Value (価格・価値),6,214,2.804,6,1800,0.333,-2.47,8.625,0.0007163051540228079,7.200523307125538e-05,0.08845303211277475,0.006136151900016215,True
Fukui,cleanliness_comfort,Cleanliness / Comfort,清潔さ・快適性,Cleanliness / Comfort (清潔さ・快適性),2,214,0.935,21,1800,1.167,0.232,0.7991913746630728,1.0,1.0,0.0,1.0,False
Fukui,opening_hours_availability,Opening Hours / Availability,営業時間・利用可否,Opening Hours / Availability (営業時間・利用可否),9,214,4.206,34,1800,1.889,-2.317,2.280344332855093,0.0403920277364982,0.04925355576581027,0.04381673023460054,0.1615681109459928,False
Fukui,itinerary_fit_time_cost,Itinerary Fit / Time & Cost,旅程適合・時間コスト,Itinerary Fit / Time & Cost (旅程適合・時間コスト),5,214,2.336,7,1800,0.389,-1.948,6.12781954887218,0.005477725143757905,0.0024455113332764343,0.06751703414883911,0.024649763146910572,True
Fukui,accessibility_mobility,Accessibility / Mobility,アクセシビリティ・移動しやすさ,Accessibility / Mobility (アクセシビリティ・移動しやすさ),6,214,2.804,158,1800,8.778,5.974,0.2997809152872444,0.0013252987733935891,0.0038685645532130987,0.06436806376416694,0.007951792640361536,True
Fukui,food_amenities_gap,Food / Amenities Gap,飲食・設備不足,Food / Amenities Gap (飲食・設備不足),1,214,0.467,0,1800,0.0,-0.467,inf,0.10625620655412114,0.20124212177929562,0.028477913113334002,0.3825223435948361,False
Kanazawa,transport_access,Transport / Access,交通・アクセス,Transport / Access (交通・アクセス),2,536,0.373,5,1050,0.476,0.103,0.7827715355805244,1.0,1.0,0.0,1.0,False
Kanazawa,wayfinding_signage,Wayfinding / Signage,案内・サイン,Wayfinding / Signage (案内・サイン),1,536,0.187,6,1050,0.571,0.385,0.3252336448598131,0.43434452724406697,0.4881375299623082,0.017408181571781887,0.7818201490393205,False
Kanazawa,english_information_gap,English Information Gap,英語・多言語情報不足,English Information Gap (英語・多言語情報不足),5,536,0.933,10,1050,0.952,0.02,0.9792843691148776,1.0,1.0,0.0,1.0,False
Kanazawa,staff_communication,Staff Communication,スタッフ対応・コミュニケーション,Staff Communication (スタッフ対応・コミュニケーション),0,536,0.0,2,1050,0.19,0.19,0.0,0.5522334623539568,0.7924430043392945,0.006607460452439237,0.8283501935309352,False
Kanazawa,booking_ticketing,Booking / Ticketing,予約・チケット・決済,Booking / Ticketing (予約・チケット・決済),2,536,0.373,11,1050,1.048,0.674,0.3537623425263875,0.23965612411776524,0.26493956724660145,0.027992536318673215,0.5751746978826365,False
Kanazawa,waiting_crowding,Waiting / Crowding,待ち時間・混雑,Waiting / Crowding (待ち時間・混雑),25,536,4.664,58,1050,5.524,0.86,0.8367636142789662,0.5513660576430481,0.5432144398372112,0.015265918696744216,0.8283501935309352,False
Kanazawa,price_value,Price / Value,価格・価値,Price / Value (価格・価値),9,536,1.679,3,1050,0.286,-1.393,5.960151802656546,0.004157008453128838,0.006473942713789354,0.06836872472928673,0.021378900616091163,True
Kanazawa,cleanliness_comfort,Cleanliness / Comfort,清潔さ・快適性,Cleanliness / Comfort (清潔さ・快適性),0,536,0.0,20,1050,1.905,1.905,0.0,0.0004280429248840846,0.002904152149945195,0.0747704683156214,0.005136515098609015,True
Kanazawa,opening_hours_availability,Opening Hours / Availability,営業時間・利用可否,Opening Hours / Availability (営業時間・利用可否),12,536,2.239,13,1050,1.238,-1.001,1.8267762771579565,0.13931329913404428,0.19348262697445023,0.03265179956250417,0.39203343651583555,False
Kanazawa,itinerary_fit_time_cost,Itinerary Fit / Time & Cost,旅程適合・時間コスト,Itinerary Fit / Time & Cost (旅程適合・時間コスト),3,536,0.56,5,1050,0.476,-0.084,1.176360225140713,1.0,1.0,0.0,1.0,False
Kanazawa,accessibility_mobility,Accessibility / Mobility,アクセシビリティ・移動しやすさ,Accessibility / Mobility (アクセシビリティ・移動しやすさ),1,536,0.187,39,1050,3.714,3.528,0.04845434938892883,1.6457593484891468e-06,4.721952748027089e-05,0.10217247094655736,5.924733654560928e-05,True
Kanazawa,food_amenities_gap,Food / Amenities Gap,飲食・設備不足,Food / Amenities Gap (飲食・設備不足),1,536,0.187,2,1050,0.19,0.004,0.9794392523364486,1.0,1.0,0.0,1.0,False
Toyama,transport_access,Transport / Access,交通・アクセス,Transport / Access (交通・アクセス),2,169,1.183,8,1187,0.674,-0.509,1.7649700598802396,0.35984985751171683,0.8074016573283817,0.006620140411959745,0.7315787359332154,False
Toyama,wayfinding_signage,Wayfinding / Signage,案内・サイン,Wayfinding / Signage (案内・サイン),0,169,0.0,8,1187,0.674,0.674,0.0,0.6061407345313499,0.593605325711112,0.014491096387036672,0.8465187828335703,False
Toyama,english_information_gap,English Information Gap,英語・多言語情報不足,English Information Gap (英語・多言語情報不足),1,169,0.592,1,1187,0.084,-0.507,7.059523809523809,0.23381009916293852,0.591146800231759,0.014587668153958563,0.5751746978826365,False
Toyama,staff_communication,Staff Communication,スタッフ対応・コミュニケーション,Staff Communication (スタッフ対応・コミュニケーション),0,169,0.0,4,1187,0.337,0.337,0.0,1.0,1.0,0.0,1.0,False
Toyama,booking_ticketing,Booking / Ticketing,予約・チケット・決済,Booking / Ticketing (予約・チケット・決済),0,169,0.0,6,1187,0.505,0.505,0.0,1.0,0.7588866684724273,0.008335430911017428,1.0,False
Toyama,waiting_crowding,Waiting / Crowding,待ち時間・混雑,Waiting / Crowding (待ち時間・混雑),3,169,1.775,50,1187,4.212,2.437,0.41096385542168673,0.1415676298529406,0.18768570659682485,0.03577720314945783,0.39203343651583555,False
Toyama,price_value,Price / Value,価格・価値,Price / Value (価格・価値),2,169,1.183,3,1187,0.253,-0.931,4.726546906187624,0.11980018269721422,0.2342797406281705,0.03229984707539146,0.39203343651583555,False
Toyama,cleanliness_comfort,Cleanliness / Comfort,清潔さ・快適性,Cleanliness / Comfort (清潔さ・快適性),0,169,0.0,11,1187,0.927,0.927,0.0,0.3779028792788126,0.4247098374766246,0.021678224078025263,0.7315787359332154,False
Toyama,opening_hours_availability,Opening Hours / Availability,営業時間・利用可否,Opening Hours / Availability (営業時間・利用可否),2,169,1.183,22,1187,1.853,0.67,0.6341861731083288,0.7584612713150641,0.7594134833041366,0.008316637728896951,1.0,False
Toyama,itinerary_fit_time_cost,Itinerary Fit / Time & Cost,旅程適合・時間コスト,Itinerary Fit / Time & Cost (旅程適合・時間コスト),1,169,0.592,5,1187,0.421,-0.17,1.4071428571428573,0.5507788497185265,1.0,0.0,0.8283501935309352,False
Toyama,accessibility_mobility,Accessibility / Mobility,アクセシビリティ・移動しやすさ,Accessibility / Mobility (アクセシビリティ・移動しやすさ),3,169,1.775,33,1187,2.78,1.005,0.6319824753559693,0.6113746764909119,0.6138138658743826,0.01370405792506473,0.8465187828335703,False
Toyama,food_amenities_gap,Food / Amenities Gap,飲食・設備不足,Food / Amenities Gap (飲食・設備不足),0,169,0.0,0,1187,0.0,0.0,,1.0,,,1.0,False
