friction_code,friction_label,english_fukui_count,english_fukui_pct_of_sentences,official_ftas_count,official_ftas_n_respondents,official_ftas_pct_of_respondents
transport_access,Transport / Access,8,1.0,2042,95422,2.14
wayfinding_signage,Wayfinding / Signage,1,0.1,624,95422,0.654
english_information_gap,English Information Gap,1,0.1,58,95422,0.061
staff_communication,Staff Communication,1,0.1,133,95422,0.139
booking_ticketing,Booking / Ticketing,0,0.0,277,95422,0.29
waiting_crowding,Waiting / Crowding,0,0.0,1738,95422,1.821
price_value,Price / Value,6,0.8,274,95422,0.287
cleanliness_comfort,Cleanliness / Comfort,2,0.3,859,95422,0.9
opening_hours_availability,Opening Hours / Availability,10,1.3,1058,95422,1.109
itinerary_fit_time_cost,Itinerary Fit / Time & Cost,7,0.9,335,95422,0.351
accessibility_mobility,Accessibility / Mobility,6,0.8,1003,95422,1.051
food_amenities_gap,Food / Amenities Gap,1,0.1,644,95422,0.675
