municipality,friction_code,count,n_respondents,pct_of_respondents
あわら市,transport_access,258,8949,2.88
あわら市,wayfinding_signage,49,8949,0.55
あわら市,english_information_gap,8,8949,0.09
あわら市,staff_communication,21,8949,0.23
あわら市,booking_ticketing,20,8949,0.22
あわら市,waiting_crowding,129,8949,1.44
あわら市,price_value,18,8949,0.2
あわら市,cleanliness_comfort,43,8949,0.48
あわら市,opening_hours_availability,83,8949,0.93
あわら市,itinerary_fit_time_cost,40,8949,0.45
あわら市,accessibility_mobility,51,8949,0.57
あわら市,food_amenities_gap,100,8949,1.12
おおい町,transport_access,29,2581,1.12
おおい町,wayfinding_signage,10,2581,0.39
おおい町,english_information_gap,0,2581,0.0
おおい町,staff_communication,3,2581,0.12
おおい町,booking_ticketing,8,2581,0.31
おおい町,waiting_crowding,25,2581,0.97
おおい町,price_value,3,2581,0.12
おおい町,cleanliness_comfort,35,2581,1.36
おおい町,opening_hours_availability,50,2581,1.94
おおい町,itinerary_fit_time_cost,7,2581,0.27
おおい町,accessibility_mobility,11,2581,0.43
おおい町,food_amenities_gap,17,2581,0.66
勝山市,transport_access,158,8343,1.89
勝山市,wayfinding_signage,45,8343,0.54
勝山市,english_information_gap,5,8343,0.06
勝山市,staff_communication,12,8343,0.14
勝山市,booking_ticketing,38,8343,0.46
勝山市,waiting_crowding,244,8343,2.92
勝山市,price_value,29,8343,0.35
勝山市,cleanliness_comfort,84,8343,1.01
勝山市,opening_hours_availability,114,8343,1.37
勝山市,itinerary_fit_time_cost,51,8343,0.61
勝山市,accessibility_mobility,105,8343,1.26
勝山市,food_amenities_gap,40,8343,0.48
南越前町,transport_access,27,3236,0.83
南越前町,wayfinding_signage,10,3236,0.31
南越前町,english_information_gap,0,3236,0.0
南越前町,staff_communication,2,3236,0.06
南越前町,booking_ticketing,5,3236,0.15
南越前町,waiting_crowding,37,3236,1.14
南越前町,price_value,20,3236,0.62
南越前町,cleanliness_comfort,39,3236,1.21
南越前町,opening_hours_availability,26,3236,0.8
南越前町,itinerary_fit_time_cost,11,3236,0.34
南越前町,accessibility_mobility,29,3236,0.9
南越前町,food_amenities_gap,7,3236,0.22
坂井市,transport_access,199,8068,2.47
坂井市,wayfinding_signage,50,8068,0.62
坂井市,english_information_gap,5,8068,0.06
坂井市,staff_communication,11,8068,0.14
坂井市,booking_ticketing,16,8068,0.2
坂井市,waiting_crowding,138,8068,1.71
坂井市,price_value,25,8068,0.31
