transport_mode,friction_code,count,n_respondents,pct_of_respondents
transport_to_fukui_private_car,transport_access,478,72363,0.66
transport_to_fukui_private_car,wayfinding_signage,424,72363,0.59
transport_to_fukui_private_car,language_information_gap,31,72363,0.04
transport_to_fukui_private_car,staff_communication,96,72363,0.13
transport_to_fukui_private_car,booking_ticketing,193,72363,0.27
transport_to_fukui_private_car,waiting_crowding,1154,72363,1.59
transport_to_fukui_private_car,price_value,193,72363,0.27
transport_to_fukui_private_car,cleanliness_comfort,590,72363,0.82
transport_to_fukui_private_car,opening_hours_availability,682,72363,0.94
transport_to_fukui_private_car,itinerary_fit_time_cost,188,72363,0.26
transport_to_fukui_private_car,accessibility_mobility,735,72363,1.02
transport_to_fukui_private_car,food_amenities_gap,408,72363,0.56
transport_to_fukui_rental_car,transport_access,217,7605,2.85
transport_to_fukui_rental_car,wayfinding_signage,77,7605,1.01
transport_to_fukui_rental_car,language_information_gap,12,7605,0.16
transport_to_fukui_rental_car,staff_communication,13,7605,0.17
transport_to_fukui_rental_car,booking_ticketing,17,7605,0.22
transport_to_fukui_rental_car,waiting_crowding,188,7605,2.47
transport_to_fukui_rental_car,price_value,16,7605,0.21
transport_to_fukui_rental_car,cleanliness_comfort,58,7605,0.76
transport_to_fukui_rental_car,opening_hours_availability,108,7605,1.42
transport_to_fukui_rental_car,itinerary_fit_time_cost,31,7605,0.41
transport_to_fukui_rental_car,accessibility_mobility,100,7605,1.31
transport_to_fukui_rental_car,food_amenities_gap,58,7605,0.76
transport_to_fukui_shinkansen,transport_access,723,10199,7.09
transport_to_fukui_shinkansen,wayfinding_signage,82,10199,0.8
transport_to_fukui_shinkansen,language_information_gap,14,10199,0.14
transport_to_fukui_shinkansen,staff_communication,18,10199,0.18
transport_to_fukui_shinkansen,booking_ticketing,42,10199,0.41
transport_to_fukui_shinkansen,waiting_crowding,279,10199,2.74
transport_to_fukui_shinkansen,price_value,37,10199,0.36
transport_to_fukui_shinkansen,cleanliness_comfort,116,10199,1.14
transport_to_fukui_shinkansen,opening_hours_availability,175,10199,1.72
