friction_code,fukui_count,fukui_n,fukui_rate,ishikawa_count,ishikawa_n,ishikawa_rate,p_value,p_value_bh,cramers_v
opening_hours_availability,657,24962,0.02632000640974281,302,25620,0.011787665886026541,6.577644430980102e-33,7.893173317176123e-32,0.053128867897490564
food_amenities_gap,436,24962,0.017466549154715166,156,25620,0.006088992974238876,2.0537738935826154e-32,1.2322643361495692e-31,0.052706436667451104
transport_access,1363,24962,0.05460299655476324,874,25620,0.034113973458235754,4.8788163482941713e-29,1.9515265393176685e-28,0.04972819268887804
accessibility_mobility,665,24962,0.0266404935501963,345,25620,0.013466042154566744,4.672662788639543e-26,1.401798836591863e-25,0.046943695917790025
wayfinding_signage,422,24962,0.01690569665892156,175,25620,0.006830601092896175,1.4858063096532507e-25,3.5659351431678013e-25,0.04645830696426482
waiting_crowding,1174,24962,0.04703148786154956,826,25620,0.03224043715846994,1.7155932056575138e-17,3.4311864113150275e-17,0.03784537982800483
itinerary_fit_time_cost,234,24962,0.009374248858264562,122,25620,0.004761904761904762,7.717344756129245e-10,1.3229733867650133e-09,0.0273477713777702
booking_ticketing,170,24962,0.006810351734636648,100,25620,0.0039032006245121,9.63713870167055e-06,1.4455708052505826e-05,0.019675730110498186
english_information_gap,46,24962,0.0018428010576075635,86,25620,0.003356752537080406,0.0011557778279550446,0.0015410371039400593,0.0144486910582919
staff_communication,101,24962,0.004046150148225303,148,25620,0.005776736924277908,0.006591958479274255,0.007910350175129106,0.012079727428449368
cleanliness_comfort,523,24962,0.020951846807146863,461,25620,0.01799375487900078,0.01749688365544141,0.01908750944229972,0.010564916913666213
price_value,178,24962,0.007130838875090137,149,25620,0.005815768930523029,0.07352073946197316,0.07352073946197316,0.007957088710532202
