lval,op,rval,Estimate,Est. Std,Std. Err,p-value
SATISFACTION,~,friction,-0.4757456592683612,-0.20647289601088042,0.019574265605919964,0.0
INTENTION,~,SATISFACTION,0.39198641513699767,0.8011594737222497,0.009517596067972783,0.0
INTENTION,~,friction,-0.07250090664165416,-0.06431016277473973,0.010461905344471664,4.2086334417490434e-12
sat_overall,~,SATISFACTION,1.0,0.8710878133044395,-,-
sat_transport,~,SATISFACTION,0.5890786164305416,0.5130644947900058,0.009269190264981922,0.0
sat_product,~,SATISFACTION,0.9667183375723822,0.84206088411714,0.009385835683996605,0.0
intent_revisit,~,INTENTION,1.0,0.42616171250731816,-,-
intent_nps,~,INTENTION,1.6566784682009301,0.7060101742311721,0.04082579121912263,0.0
INTENTION,~~,INTENTION,0.06042800175479732,0.332731620054599,0.0041057050241940386,0.0
SATISFACTION,~~,SATISFACTION,0.7263056229192457,0.95736894321288,0.011852311780378417,0.0
intent_nps,~~,intent_nps,0.501548126540818,0.50154963388207,0.012936990855014919,0.0
intent_revisit,~~,intent_revisit,0.8183773393394211,0.8183861947928299,0.010143532885434238,0.0
sat_overall,~~,sat_overall,0.24115948125337794,0.2412060215124899,0.006288406934119456,0.0
sat_product,~~,sat_product,0.29090198218822916,0.29093346743986054,0.006253942990891291,0.0
sat_transport,~~,sat_transport,0.7368372066329637,0.7367648241858759,0.00878852403625543,0.0
